Time(s),SteerAngle(rad),YawRate(rad/s),Velocity(m/s)
345,-0.022426718,-0.011023997,25.466662
346,-0.014542445,-0.006271921,21.133202
347,0.031354584,0.011058206,17.113508
348,-0.49194822,-0.15063029,15.2741
349,-0.80731877,-0.26390698,14.706611
350,-0.81943317,-0.26560901,14.617985
351,-0.7950991,-0.26025808,14.70083
352,-0.53621955,-0.18410153,15.085463
353,-0.15375518,-0.059555726,16.300936
354,0.023410327,0.006725268,18.491432
355,0.024530631,0.009105205,21.062784
356,0.010391717,0.004091052,23.515017
357,-0.018836569,-0.005512095,25.016249
358,-0.11566448,-0.04501668,24.362434
359,-0.23872343,-0.094275533,22.458859
360,-0.37129762,-0.14264098,21.292036
361,-0.45320471,-0.1719351,20.609477
362,-0.49283914,-0.18540403,20.333607
363,-0.52166767,-0.19517743,20.27175
364,-0.49988462,-0.18859685,20.329917
365,-0.44036497,-0.16772624,20.386728
366,-0.3606136,-0.13891664,20.414165
367,-0.26803984,-0.10647828,20.123215
368,-0.19326119,-0.07761941,18.47052
369,-0.13778428,-0.048644515,15.392077
370,-0.3752592,-0.10745289,13.265431
371,-0.55056635,-0.17642397,12.592281
372,0.39838959,0.1133381,13.306526
373,0.15945524,0.060922584,14.69333
374,-0.042235861,-0.012445057,17.098853
375,-0.057400188,-0.020333677,19.887461
376,-0.033543395,-0.012748239,22.715563
377,0.00700361,0.001622822,25.465863
378,0.050868284,0.018676161,27.016075
379,0.08533455,0.032971651,27.616241
380,0.10138363,0.039880013,27.774239
381,0.095787737,0.038285199,27.791888
382,0.073387244,0.029586693,27.784219
383,0.040410599,0.016707961,27.778347
384,0.004177061,0.002407656,27.779172
385,-0.032508077,-0.012123785,27.784113
386,-0.070574873,-0.027153067,27.790436
387,-0.11522424,-0.045066813,27.764692
388,-0.160935,-0.066135988,27.090734
389,-0.21157023,-0.087171286,25.926017
390,-0.26526093,-0.10765481,24.571121
391,-0.32261683,-0.12897291,23.564485
392,-0.38475552,-0.14935219,22.931343
393,-0.42128111,-0.16320813,22.781045
394,-0.40027415,-0.15544927,22.902959
395,-0.35248785,-0.13712716,23.297164
396,-0.30163728,-0.11740016,23.96279
397,-0.25645637,-0.099688881,24.886962
398,-0.2258271,-0.087770167,26.017224
399,-0.20989906,-0.085896354,26.552099
400,-0.21530747,-0.090306833,26.027841
401,-0.23262568,-0.098737856,24.717781
402,-0.26380049,-0.10949752,23.477757
403,-0.29676553,-0.12119336,22.393773
